latitude;longitude;diametro
-29.9375;0.07031;18356.39609
-29.94141;29.92969;16835.59683
-29.93359;13.94922;11731.27211
-29.94141;14.10938;14262.90458
-29.85547;14.61719;33361.60438
-29.92578;28.25;21084.1958
-29.93359;29.51172;17228.38675
-29.9375;29.6875;15615.48832
-29.93359;8.39453;19221.12215
-29.93359;11.26172;12573.87452
-29.93359;13.60938;13021.93851
-29.94531;1.05469;10173.00939
-29.97266;9.99219;4403.10472
-29.97266;12.8125;4147.63103
-29.93359;19.27344;12453.86083
-29.9375;20.51172;14011.81148
-29.94531;21.92969;7959.28091
-29.97266;23.9375;4495.16565
-29.94922;25.85938;8538.57645
-29.9375;26.33984;9955.96022
-29.9375;28.65625;11292.45271
-29.97266;0.51562;2217.00204
-29.97266;5.69922;1955.21202
-29.95703;8.55469;5303.32757
-29.92188;8.73438;13465.23322
-29.96094;9.34766;4817.69501
-29.96875;14.30078;3091.46164
-29.9375;19.57422;10159.57967
-29.97266;20.98438;3768.17889
-29.97266;21.55859;2023.83671
-29.97266;21.73828;3135.31435
-29.97266;23.62891;2023.83671
-29.97266;24.17188;2612.76196
-29.97266;24.63281;3345.96789
-29.97266;26.60156;3804.23884
-29.91797;19.40625;9790.01593
-29.94531;5.63281;4114.58165
-29.94141;27.60156;4615.05777
-29.94922;28.07031;2664.50485
-29.92188;14.29688;8278.78685